"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"dist"
"14362920"	-6.8468645379712	3.42677524404176	-2.32796255971	-1.18092338434183	-1.02421453930569	0.667669144090261	0.167243434006737	0.0771844506461112	0.019861922351815	0.0149403134098723	0.0259696701224681	0.0169846979223069	0.00907281132910699	0.00278256744872902	0.00272343260258507	8.37936450179911
"14362912"	-6.90761482156661	3.36923325393704	-2.37414758417542	-1.13784513940339	-1.04908440766541	0.669999378450449	0.159397069026271	0.0791468435460852	0.0181796070484635	0.015453933493571	0.0264325575950884	0.0164190771155307	0.00943637784059412	0.00258326269701233	0.00285729856743472	8.43899856015259
"14362898"	-6.77549948113751	3.02842338789075	-2.51797075482551	-0.904001655913362	-1.40971183454921	0.661584181499448	0.132170843898965	0.0913700459376856	0.0117771696729386	0.0286393509433777	0.0254311262868106	0.0132653822406679	0.0106142976073306	0.0016305747294403	0.00515935546173884	8.33007209257416
"14362902"	-6.84639650168768	2.82299729193796	-2.62646650695009	-0.736075050059333	-1.37680668051281	0.680185901143235	0.115644359276118	0.100103039665005	0.00786226586508923	0.027507394780542	0.025966119787162	0.0115267668470618	0.0115487141255155	0.00108105166427452	0.00492130960863941	8.30134062446592
"14362914"	-6.85022568344109	2.80666096844111	-2.66121580269084	-0.707201199961098	-1.42178958611259	0.681557236549083	0.114412238827197	0.102861478217612	0.00726404543093907	0.029360485432044	0.0259951735521118	0.0113937450094598	0.0118563246984594	0.000997902781555594	0.00524814006019259	8.2976232704606
"14362928"	-6.82498052912286	2.46667419058825	-2.98629991890151	-0.342527010810057	-1.40472014293941	0.681268712244289	0.0889895867683598	0.13043149002603	0.0017159524919034	0.0288599271643086	0.0258039264445792	0.00880055710014255	0.0149298946081647	0.00023409487423598	0.00512288231263798	8.26879442185968
"14362952"	-6.76492901780314	2.41676543859048	-3.1305920284133	-0.231685017707026	-1.56637307153196	0.672255553915056	0.0857979505458969	0.143966305848992	0.000788503837773132	0.0360411240590452	0.0253518379342729	0.00844803275133301	0.0164075164043512	0.000107102141851062	0.006369790892756	8.2507997091951
"14362938"	-6.22702569077423	1.92301234399052	-4.36724851513479	0.703229690056175	-2.62316283287223	0.505848849887098	0.0482418102334602	0.248814258088965	0.00645139819382221	0.0897656029695554	0.0214804945886248	0.00534873066671021	0.0319304992296038	0.000986726181347213	0.0178642694019569	8.75528472448827
"14362964"	-6.53812776253923	2.91489121577479	-2.55394306675987	-0.7754453568024	-1.08053116373338	0.677691749657897	0.134700775334962	0.103406494531584	0.00953296047393223	0.0185097258536071	0.0236804400024401	0.0122894172201743	0.0109197405629439	0.00119978839002419	0.00303116343114824	7.94213570935402
"14363000"	-6.63262311433707	2.82766424327641	-2.76311405810227	-0.624939977483731	-1.17591847748841	0.67632797099014	0.122925614780894	0.117377359026991	0.00600431300122787	0.0212589170814943	0.0243698918555032	0.0115649102251551	0.01278166768426	0.000779253694936555	0.0035899565160635	8.06504222656253
"14364760"	-7.80720771929401	4.52999423194598	-0.667701506637215	-2.74302760475243	-0.667322208624799	0.663360249446665	0.223333191914598	0.00485202117274546	0.0818876355469441	0.0048465102094006	0.0337655968314793	0.0296812292775621	0.000746370746954735	0.015012831553209	0.00115612799088144	9.58563774900421
"14363016"	-6.73333789296247	2.79838141700208	-2.85849084828121	-0.580046706146591	-1.39252270365701	0.672490630528874	0.116155355033543	0.121198998879239	0.00499058377334513	0.0287627223853843	0.0251156128225463	0.0113266218646748	0.0136792885080598	0.000671317834950085	0.00503430273691555	8.21083433765147
"14362996"	-6.97586844045377	2.42459965479917	-3.08227561525231	-0.276072324970354	-1.38565676315423	0.680317584229648	0.0821855018174226	0.132818348017293	0.00106551821586043	0.0268427165201006	0.0269574944754384	0.00850289201489333	0.0159049694040066	0.000152071559897926	0.00498478108857752	8.45750831355647
"14363018"	-6.83203210899223	2.38873469371426	-3.3284127232443	-0.107234733567076	-1.58216934384494	0.656239581687936	0.0802229187110075	0.155753197484691	0.000161671541166916	0.0351939939368344	0.025857275299527	0.00825320096255325	0.0185465973741001	2.29442153145216e-05	0.0064989124987705	8.43371047677725
